ORDER,Climber Up,DEVICE ID,CAN ID,DIO ID,RLS ID
,Climber Down,VLU,,0,
,Climber Motor,VLD,,1,
,Climber Lock,VM,1,,
,Climber Encoder,VS,,,0
,Bucket Movement Motor,VE,,"2 ( Blue ), 3 ( Yellow )",
,Bucket Encoder,BM,2,,
,Intake 1,BE,,"4 ( Blue ), 5 ( Yellow )",
,Intake 2,AML,3,,
,In & Out Motor,AMR,4,,
,In & Out In,HM,5,,
,In & Out Out,HLI,,6,
,Front Left Turn,HLO,,7,
,Front Left Drive,FLT,10,,
,Rear Left Turn,DFL,11,,
,Rear Left Drive,TBL,12,,
,Front Right Turn,DBL,13,,
,Front Right Drive,TFR,14,,
,Right Rear Turn,DFR,15,,
,Right Rear Drive,TBR,16,,
,Radio/Switch,DBR,17,,
,Robo Rio,Rad,,,
,Power Distribution Hub,Rio,0,,
,Camera For Auto,PDB,,,
,,CAM,,,